State Name,District Name,Population,Literacy Rate,Sex Ratio,Workers
JAMMU AND KASHMIR,Kupwara,870354,50.51438839828391,835.4541428541302,229064
JAMMU AND KASHMIR,Badgam,753745,44.53084265898944,893.636585175899,214866
JAMMU AND KASHMIR,Leh(Ladakh),133487,70.24654086165694,690.329361411151,75079
JAMMU AND KASHMIR,Kargil,140802,61.246289115211425,810.1433438323584,51873
JAMMU AND KASHMIR,Punch,476835,54.88774943114495,892.9610677295266,161393
JAMMU AND KASHMIR,Rajouri,642415,56.678159756543664,860.1799328798816,290912
JAMMU AND KASHMIR,Kathua,616435,63.1378815284661,890.2728842196934,200431
JAMMU AND KASHMIR,Baramula,1008039,54.080149676748626,885.1258478530407,304200
JAMMU AND KASHMIR,Bandipore,392232,47.41556017866977,888.6363636363636,149317
JAMMU AND KASHMIR,Srinagar,1236829,60.52445406761969,899.5291219491219,407188
JAMMU AND KASHMIR,Ganderbal,297446,48.168743234066014,874.0297379032259,100890
JAMMU AND KASHMIR,Pulwama,560440,52.451288273499394,912.3467911445964,188420
JAMMU AND KASHMIR,Shupiyan,266215,51.27434592340777,950.5788393903869,87721
JAMMU AND KASHMIR,Anantnag,1078692,50.57347231647217,927.0374995310549,389684
JAMMU AND KASHMIR,Kulgam,424483,49.25638953739019,950.5698005698006,159990
JAMMU AND KASHMIR,Doda,409936,53.443220405136415,918.8077194920451,151912
JAMMU AND KASHMIR,Ramban,283713,43.72905013164712,902.4287208647372,87212
JAMMU AND KASHMIR,Kishtwar,230696,46.60072129555779,919.8269046727416,82974
JAMMU AND KASHMIR,Udhampur,554985,58.083371622656465,869.9963609898108,243672
JAMMU AND KASHMIR,Reasi,314667,47.84168660838283,890.3346729864653,144767
JAMMU AND KASHMIR,Jammu,1529958,74.32458930245144,879.9686909037737,508622
JAMMU AND KASHMIR,Samba,318898,71.53980269553274,885.5869066483764,92526
HIMACHAL PRADESH,Chamba,519080,62.3876859058334,986.3768559620388,294035
HIMACHAL PRADESH,Kangra,1510075,76.32998361008559,1011.8479971116094,675170
HIMACHAL PRADESH,Lahul AND Spiti,31564,69.20859206691166,902.8213166144201,19295
HIMACHAL PRADESH,Kullu,437903,70.26030878984615,942.3336231215513,269084
HIMACHAL PRADESH,Mandi,999777,72.39084315802424,1007.3223374459157,572671
HIMACHAL PRADESH,Hamirpur,454768,78.74146817718045,1095.0292532362832,241931
HIMACHAL PRADESH,Una,521173,76.69526241766171,976.4460051878707,215346
HIMACHAL PRADESH,Bilaspur,381956,75.3018672307805,981.469569006661,205871
HIMACHAL PRADESH,Solan,580320,73.85201268265784,879.5545968635224,298737
HIMACHAL PRADESH,Sirmaur,529855,68.44230968849968,917.7564072402448,280083
HIMACHAL PRADESH,Shimla,814010,75.26222036584316,915.1419046252227,430926
HIMACHAL PRADESH,Kinnaur,84121,72.15677417054005,818.8717593893922,56273
PUNJAB,Gurdaspur,2298323,71.12659969899792,895.3412330521509,757138
PUNJAB,Kapurthala,815168,70.72983728507498,912.1439512468596,284165
PUNJAB,Jalandhar,2193590,73.96719532820627,915.4461492249027,774472
PUNJAB,Hoshiarpur,1586625,75.61326715512487,961.0793800684006,499822
PUNJAB,Shahid Bhagat Singh Nagar,612310,71.6073557511718,954.4449090462223,204329
PUNJAB,Fatehgarh Sahib,600163,70.98621541147988,870.8614535762714,214783
PUNJAB,Ludhiana,3498739,73.17564985556224,873.1711260638093,1284822
PUNJAB,Moga,995746,63.057145095235136,893.3411925768178,359172
PUNJAB,Firozpur,2029074,60.49611793359927,893.434063960091,756695
PUNJAB,Muktsar,901896,58.19384940170485,896.2453376841273,335326
PUNJAB,Faridkot,617508,61.745758759400694,890.3055367632878,221555
PUNJAB,Bathinda,1388525,60.84643776669487,868.313515797292,549986
PUNJAB,Mansa,769751,55.025586196055606,883.2658074239355,328512
PUNJAB,Patiala,1895686,66.82493830729351,890.9171070560049,660267
PUNJAB,Amritsar,2490656,67.6436248120977,889.1390222146711,917856
PUNJAB,Tarn Taran,1119627,59.498565147142756,899.7045993257195,380702
PUNJAB,Rupnagar,684627,73.43137211941685,915.1209141642307,233676
PUNJAB,Sahibzada Ajit Singh Nagar,994628,74.05532520701207,879.3053605742433,355995
PUNJAB,Sangrur,1655169,60.54227695177955,885.0960503582455,568758
PUNJAB,Barnala,595527,60.42228144147956,875.5456314838027,209331
CHANDIGARH,Chandigarh,1055450,76.31228385996495,817.6636017793454,404136
UTTARAKHAND,Uttarkashi,330086,65.17271256581618,957.8402937181563,157276
UTTARAKHAND,Chamoli,391605,71.6425990475096,1018.6761241500894,180940
UTTARAKHAND,Rudraprayag,242285,70.55038487731392,1114.3827068915864,113032
UTTARAKHAND,Tehri Garhwal,618931,65.91914122898999,1077.047243830247,280442
UTTARAKHAND,Dehradun,1696694,74.23294948882946,901.6990604114104,582768
UTTARAKHAND,Garhwal,687271,72.00783970224263,1102.8458306943387,274152
UTTARAKHAND,Pithoragarh,483439,71.47747699296086,1020.1708273089685,216490
UTTARAKHAND,Bageshwar,259898,69.0590154599112,1090.4557373357143,123638
UTTARAKHAND,Almora,622506,70.11932415109253,1138.6005957104724,298211
UTTARAKHAND,Champawat,259648,68.44882302193739,980.1563393708293,99566
UTTARAKHAND,Nainital,954605,72.96211522043149,933.7061900151115,376181
UTTARAKHAND,Udham Singh Nagar,1648902,62.94121785284996,920.0449939041644,591458
UTTARAKHAND,Hardwar,1890422,62.3328547805728,880.4649381524827,578121
HARYANA,Panchkula,561293,72.2114831291322,872.9807560756676,211479
HARYANA,Ambala,1128350,72.49745203172775,884.6573342709156,372139
HARYANA,Yamunanagar,1214205,68.55983956580644,877.4875602658345,389233
HARYANA,Kurukshetra,964655,67.05951868802836,887.8675319388778,336780
HARYANA,Kaithal,1074304,60.18119638389133,881.4331973737442,373899
HARYANA,Karnal,1505324,64.97026553751883,887.0519686302825,516062
HARYANA,Panipat,1205437,65.25426048810515,863.52934265224,412318
HARYANA,Sonipat,1450001,68.84933182804701,855.8848789003953,523179
HARYANA,Jind,1334152,62.41852502563427,871.1651795356561,523422
HARYANA,Fatehabad,942011,59.19017930788494,901.6694928940568,369083
HARYANA,Sirsa,1295189,60.446544867196984,897.4848443117456,502003
HARYANA,Hisar,1743931,63.89650737328484,872.05038419343,691621
HARYANA,Bhiwani,1634445,65.45775477302693,885.8864714678679,623006
HARYANA,Rohtak,1061204,70.44658708410448,866.7426589196787,345967
HARYANA,Jhajjar,958405,70.5433506711672,862.1846747508583,326534
HARYANA,Mahendragarh,922088,68.35085154562255,894.7078585885569,338584
HARYANA,Rewari,900332,70.74579155244955,898.0931198414622,337727
HARYANA,Gurgaon,1514432,73.3684972319655,854.3535490822711,544716
HARYANA,Mewat,1089263,41.76190690402593,907.0999121089989,289964
HARYANA,Faridabad,1809733,70.32744609287668,873.2163004212771,579229
HARYANA,Palwal,1042708,57.522911495835835,880.4574235748795,309563
NCT OF DELHI,North West,3656539,74.05513793234532,864.7039504885968,1188545
NCT OF DELHI,North,887978,76.7493113568129,869.4194971810645,296446
NCT OF DELHI,North East,2241624,71.89376987398421,886.2141069061994,661386
NCT OF DELHI,East,1709346,79.15296259505097,883.5768595041322,579692
NCT OF DELHI,New Delhi,142004,80.40548153573138,821.9188627440917,59541
NCT OF DELHI,Central,582320,75.96510509685397,891.7487760744068,207374
NCT OF DELHI,West,2543243,77.11331555812795,875.2160384592697,874320
NCT OF DELHI,South West,2292958,77.9643150899406,840.1872804053783,795352
NCT OF DELHI,South,2731929,76.07818504800088,861.712465620119,924393
RAJASTHAN,Ganganagar,1969168,60.6013808877658,887.3694097801292,912672
RAJASTHAN,Hanumangarh,1774692,58.271294399253506,905.8446021409302,835260
RAJASTHAN,Bikaner,2363937,54.09623860534354,905.170128006022,986208
RAJASTHAN,Churu,2039547,56.34922852966859,939.7543953755114,902829
RAJASTHAN,Jhunjhunun,2137045,64.12405915645202,950.0436172775519,894649
RAJASTHAN,Alwar,3674179,59.40037216477477,894.8580369732019,1708542
RAJASTHAN,Bharatpur,2548462,58.108341423179944,879.7765920252323,1071154
RAJASTHAN,Dhaulpur,1206516,56.617400846735556,845.821980365549,523212
RAJASTHAN,Karauli,1458248,55.26145072717398,860.8670574078116,628726
RAJASTHAN,Sawai Madhopur,1335551,55.53872521528568,897.005955703655,578068
RAJASTHAN,Dausa,1634409,57.39389589753849,905.378607976106,684495
RAJASTHAN,Jaipur,6626178,64.90868491610095,910.3833436115308,2464893
RAJASTHAN,Sikar,2677333,61.7075649536311,947.1654339304287,1006504
RAJASTHAN,Nagaur,3307743,53.16688751211929,949.9465019969641,1425882
RAJASTHAN,Jodhpur,3687165,55.09739867893083,916.4776436540245,1489741
RAJASTHAN,Jaisalmer,669919,46.07318198170226,852.0989306291262,288903
RAJASTHAN,Barmer,2603751,45.63884949060029,901.905886099712,1202482
RAJASTHAN,Jalor,1828730,45.36383173021715,952.4488754412076,896644
RAJASTHAN,Sirohi,1036346,46.008379440843115,939.8836832755868,419829
RAJASTHAN,Pali,2037573,53.28363695435697,987.0580112383,842327
RAJASTHAN,Ajmer,2583052,59.10345591184382,950.8203778458331,1053722
RAJASTHAN,Tonk,1421326,52.743635168849366,952.0062186184999,649161
RAJASTHAN,Bundi,1110906,52.66368171564471,924.7799570309793,526091
RAJASTHAN,Bhilwara,2408523,52.15337366510513,973.0089061025479,1148165
RAJASTHAN,Rajsamand,1156597,53.53109164211908,989.5396661844466,550831
RAJASTHAN,Dungarpur,1388552,49.086458411352254,993.5221928066478,641515
RAJASTHAN,Banswara,1797485,46.13907765572453,980.1455019752048,916574
RAJASTHAN,Chittaurgarh,1544338,53.215358295917085,971.903964779084,802755
RAJASTHAN,Kota,1951014,66.5471903328218,910.5841292411285,748811
RAJASTHAN,Baran,1222755,56.70040196114512,928.8029718666446,552583
RAJASTHAN,Jhalawar,1411129,52.42554011716859,946.0009956656825,685950
RAJASTHAN,Udaipur,3068420,51.57797824287418,958.3980352322982,1365783
RAJASTHAN,Pratapgarh,867848,46.26559028770015,982.5468767133302,481294
UTTAR PRADESH,Saharanpur,3466382,59.92149739988264,889.9572870924582,1037344
UTTAR PRADESH,Muzaffarnagar,4143512,58.34034027173084,889.0525085322831,1291644
UTTAR PRADESH,Bijnor,3682713,57.984236078130444,916.8666703101943,1088036
UTTAR PRADESH,Moradabad,4772006,47.44017505426439,906.3729183528511,1417811
UTTAR PRADESH,Rampur,2335819,44.68094488485623,908.5219329530701,737261
UTTAR PRADESH,Jyotiba Phule Nagar,1840221,53.42347468048675,910.0346774972002,599089
UTTAR PRADESH,Meerut,3443689,62.18587102377712,886.1849668874535,1090539
UTTAR PRADESH,Baghpat,1303048,61.23872643218055,861.3110117559672,416695
UTTAR PRADESH,Ghaziabad,4681645,66.71296093573946,881.0595644386085,1520538
UTTAR PRADESH,Gautam Buddha Nagar,1648115,68.13523328165813,851.369445998378,569109
UTTAR PRADESH,Bulandshahr,3499171,58.0610664640282,896.3024180874239,1173260
UTTAR PRADESH,Aligarh,3673889,56.957817723943215,882.1191231949246,1174361
UTTAR PRADESH,Mahamaya Nagar,1564708,60.23948238265542,871.3759991006151,484115
UTTAR PRADESH,Mathura,2547184,59.19266138606398,863.1683276949803,840939
UTTAR PRADESH,Agra,4418797,60.66153299189803,868.4502398144909,1389844
UTTAR PRADESH,Firozabad,2498156,60.91717250644075,875.4277254689403,761521
UTTAR PRADESH,Mainpuri,1868529,64.42955929503904,880.986775413564,560840
UTTAR PRADESH,Budaun,3681896,42.02935118210835,871.111248887694,1107343
UTTAR PRADESH,Bareilly,4448359,49.271180675840235,886.7646591012718,1401971
UTTAR PRADESH,Pilibhit,2031007,52.24477315932441,894.5925474019638,618605
UTTAR PRADESH,Shahjahanpur,3006538,49.589594410581206,871.5963553354917,892214
UTTAR PRADESH,Kheri,4021243,50.58246915195127,893.9655338884422,1264718
UTTAR PRADESH,Sitapur,4483992,50.93080005495103,887.7867891737508,1422602
UTTAR PRADESH,Hardoi,4092845,54.28011566526463,867.6492464778898,1318946
UTTAR PRADESH,Unnao,3108367,57.05838467594078,906.8718418096703,1124744
UTTAR PRADESH,Lucknow,4589838,68.13443088841044,916.8444369457034,1542806
UTTAR PRADESH,Rae Bareli,3405559,57.72453215463306,943.2110614182142,1204710
UTTAR PRADESH,Farrukhabad,1885204,57.96067693469779,873.5132771505804,592267
UTTAR PRADESH,Kannauj,1656616,61.3954591770211,878.7265700132459,524676
UTTAR PRADESH,Etawah,1581810,67.13846795759288,870.0700828509817,506072
UTTAR PRADESH,Auraiya,1379545,67.47413096346983,864.1492351764769,442023
UTTAR PRADESH,Kanpur Dehat,1796184,65.15162143744739,864.7024931093013,628864
