State Name,District Name,Population,Literacy Rate,Sex Ratio,Workers
KARNATAKA,Tumkur,2678980,67.68960574547029,983.5568646092015,1354646
NAGALAND,Phek,163418,64.79885936677722,951.4228054882199,80277
TRIPURA,North Tripura,693947,74.99160598720074,966.6354928300176,248667
KERALA,Alappuzha,2127789,87.07616215705599,1100.1883250324238,804471
UTTAR PRADESH,Allahabad,5954391,61.56342437035123,901.2637113334251,2111907
ARUNACHAL PRADESH,Papum Pare,176573,68.55408244748631,979.9174721356327,65772
UTTAR PRADESH,Farrukhabad,1885204,57.96067693469779,873.5132771505804,592267
HARYANA,Ambala,1128350,72.49745203172775,884.6573342709156,372139
HIMACHAL PRADESH,Sirmaur,529855,68.44230968849968,917.7564072402448,280083
MANIPUR,Thoubal,422168,63.79071838699285,1002.2670682254737,195319
MADHYA PRADESH,Sheopur,687861,47.687686901859536,901.3029874179068,277455
BIHAR,Buxar,1706352,58.00719898356259,921.6173391878393,538322
JAMMU AND KASHMIR,Ganderbal,297446,48.168743234066014,874.0297379032259,100890
MAHARASHTRA,Latur,2454196,67.25917571375717,927.6717407355043,1046857
NCT OF DELHI,North,887978,76.7493113568129,869.4194971810645,296446
JHARKHAND,Palamu,1939869,52.81609222066026,927.720505375126,713175
MAHARASHTRA,Solapur,4317756,67.41177593175715,938.080267450441,1898395
ANDHRA PRADESH,Srikakulam,2703114,55.32067829917643,1014.6362404582713,1290288
NAGALAND,Mokokchung,194622,81.95065306080505,925.1968503937009,100067
MADHYA PRADESH,Satna,2228935,61.54423525136444,925.6541064972203,911349
BIHAR,Jehanabad,1125313,54.99634323961422,921.7001205638151,365378
MADHYA PRADESH,Dewas,1563715,59.17759949862986,941.6372077545542,742676
UTTAR PRADESH,Unnao,3108367,57.05838467594078,906.8718418096703,1124744
KERALA,Pathanamthitta,1197412,88.73746045638427,1131.703565502852,392794
UTTAR PRADESH,Faizabad,2470996,58.71725409510983,961.687101271169,831209
KARNATAKA,Mandya,1805769,63.66534146947921,995.1374732759907,871408
MADHYA PRADESH,Ratlam,1455069,56.75882037209232,970.9945668149019,690980
KARNATAKA,Chikmagalur,1137961,71.91327295047897,1008.324773835114,565774
RAJASTHAN,Ajmer,2583052,59.10345591184382,950.8203778458331,1053722
MAHARASHTRA,Wardha,1300774,78.37318396585418,946.1448117477203,608235
MAHARASHTRA,Nashik,6107187,71.15167752354725,934.3766886081467,2763328
PONDICHERRY,Mahe,41816,87.21541993495313,1184.4016089432168,11802
HARYANA,Jind,1334152,62.41852502563427,871.1651795356561,523422
RAJASTHAN,Sikar,2677333,61.7075649536311,947.1654339304287,1006504
UTTARAKHAND,Almora,622506,70.11932415109253,1138.6005957104724,298211
MIZORAM,Kolasib,83955,78.48847596926926,956.1722354256955,36672
RAJASTHAN,Jaipur,6626178,64.90868491610095,910.3833436115308,2464893
HARYANA,Kaithal,1074304,60.18119638389133,881.4331973737442,373899
JAMMU AND KASHMIR,Leh(Ladakh),133487,70.24654086165694,690.329361411151,75079
UTTARAKHAND,Uttarkashi,330086,65.17271256581618,957.8402937181563,157276
MADHYA PRADESH,Shivpuri,1726050,52.19118797253846,876.5594507471774,759281
WEST BENGAL,Nadia,5167600,67.35341357690223,947.268939862113,1842607
BIHAR,Muzaffarpur,4801062,52.264103233826184,899.5322249640652,1547586
JHARKHAND,Lohardaga,461790,56.239199636198265,985.0921424242034,221332
BIHAR,Begusarai,2970541,52.13437552284247,894.888560019392,938182
MIZORAM,Lawngtlai,117894,53.31993146385736,945.477648146009,45566
JHARKHAND,Pashchimi Singhbhum,1502338,48.42858264917748,1004.7612375481227,694863
HIMACHAL PRADESH,Solan,580320,73.85201268265784,879.5545968635224,298737
ASSAM,Kamrup,1517542,65.58757517090137,949.4130084872588,628954
MANIPUR,Ukhrul,183998,70.56000608702269,942.5874701746236,87929
KARNATAKA,Ramanagara,1082636,62.32547227322941,975.5842980394447,531459
ASSAM,Sivasagar,1151050,70.67503583684463,953.5280779883778,485717
WEST BENGAL,Barddhaman,7717563,67.99047834141425,945.4950718308478,2911251
HARYANA,Rohtak,1061204,70.44658708410448,866.7426589196787,345967
ARUNACHAL PRADESH,Lower Dibang Valley,54080,58.89238165680474,927.7795601183474,22326
UTTAR PRADESH,Bijnor,3682713,57.984236078130444,916.8666703101943,1088036
BIHAR,Katihar,3071029,41.68602771253544,918.8774266915767,1013566
GUJARAT,Junagadh,2743082,67.18056550988997,953.2668354747657,1123709
PUNJAB,Faridkot,617508,61.745758759400694,890.3055367632878,221555
BIHAR,Samastipur,4261566,50.28386278659066,911.0135726274807,1343400
CHHATTISGARH,Dhamtari,799781,68.37284206551544,1010.0201811021445,402895
RAJASTHAN,Dausa,1634409,57.39389589753849,905.378607976106,684495
ANDHRA PRADESH,Chittoor,4174064,63.915598802509976,996.9648895514505,1933357
UTTAR PRADESH,Muzaffarnagar,4143512,58.34034027173084,889.0525085322831,1291644
KARNATAKA,Bidar,1703300,61.21487700346386,956.320743339861,702608
